Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,770,200,31900,,2.41,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,1080,200,31900,,3.39,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1060,380,461500,,0.23,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1260,380,461500,,0.27,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1520,380,461500,,0.33,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1350,380,461500,,0.29,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,990,380,461500,,0.21,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1000,380,461500,,0.22,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1350,380,461500,,0.29,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1120,380,461500,,0.24,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1760,380,461500,,0.38,,,,,,,cresent,,,,
Carcharhinidae,Negaprion,acutidens,sicklefin lemon shark,1630,380,461500,,0.35,,,,,,,cresent,,,,
Leuciscidae,Cyprinella,venusta,Blacktail shiner,4.59,19,42.41,,10.82,,,,,,,cresent,,,,
Leuciscidae,Cyprinella,venusta,Blacktail shiner,4.59,19,42.41,,10.82,,,,,,,cresent,,,,
Leuciscidae,Cyprinella,venusta,Blacktail shiner,4.59,19,42.41,,10.82,,,,,,,cresent,,,,
Percidae,Etheostoma,jordani,Greenbreast darter,1.18,7.9,9.45,,12.49,Etheostoma juliae ,,,,,,round,,,,
Percidae,Etheostoma,jordani,Greenbreast darter,1.18,7.9,9.45,,12.49,Etheostoma juliae ,,,,,,round,,,,
Percidae,Etheostoma,jordani,Greenbreast darter,1.18,7.9,9.45,,12.49,Etheostoma juliae ,,,,,,round,,,,
Percidae,Percina,nigrofasciata,Blackbanded darter,3.89,11,12.5,,31.12,Percina maculata ,,,,,,round,Percina phoxocephala,0.0069,3.148,13.09644018
Percidae,Percina,nigrofasciata,Blackbanded darter,3.89,11,12.5,,31.12,Percina maculata ,,,,,,round,,,,
Percidae,Percina,nigrofasciata,Blackbanded darter,3.89,11,12.5,,31.12,Percina maculata ,,,,,,round,,,,
Percidae,Percina,palmaris,Bronze darter,2.78,9,6.54,,42.51,Percina maculata ,,,,,,round,,,,
Percidae,Percina,palmaris,Bronze darter,2.78,9,6.54,,42.51,Percina maculata ,,,,,,round,,,,
Percidae,Percina,palmaris,Bronze darter,2.78,9,6.54,,42.51,Percina maculata ,,,,,,round,,,,
Cottidae,Cottus,carolinae,Banded sculpin,1.96,18,13.28,,14.76,,,,,,,round,,,,
Cottidae,Cottus,carolinae,Banded sculpin,1.96,18,13.28,,14.76,,,,,,,round,,,,
Cottidae,Cottus,carolinae,Banded sculpin,1.96,18,13.28,,14.76,,,,,,,round,,,,
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,Leucoraja fullonica,0.0065,3.13,6853.422752
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,,,,
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,,,,
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,,,,
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,,,,
Rajidae,Rostaraja,eglanteria,Clearnose skate,1300,84,3200,,40.63,Rostroraja alba ,,,,,,NA,,,,
Paralichthyidae,Paralichthys,dentatus,Summer flounder,1400,94,7700,,18.18,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,Summer flounder,1400,94,7700,,18.18,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,Summer flounder,1400,94,7700,,18.18,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,Summer flounder,1400,94,7700,,18.18,,,,,,,round,,,,
Rajidae,Amblyraja,radiata,Thorny skate,360,105,9400,,3.83,,,,,,,NA,,,,
